text,label
@Reforma QEPD 😢 Mis condolencias para sus familiares.,0
"@Mubrutico @AlvaroVadin @aracnoideo Estoy enfadado con él , no saca la bici... 😂😂",0
@jotajordi13 @somhiserem @jmbartomeu Que estas enfadado por que no cojen los crack que tu representa,0
"""Tienes esa sonrisa que me gustaría ver cada día de mi vida.""",1
Q horrible es querer dormir y no poder dormir la concha de la lora,0
"Tengo mucho amor para dar, valórenme ",1
@mariobautista_ Quiero darte felicidad porque vos sos mi mundo ❤️🌎,1
"@dgaxiola92 ah, aquí en twitter se usan los #hasgtags o como diría mi amiga niurka los #hashtash, te recomiendo usarlos #sarcasmo.",0
@grmanzano @MarioSuarez4 mucha suerte 🍀 os ira genial! Un abrazo chavales 😉,1
Me enturca que me agarre ansiedad.😤,0
Leída personalizada de zns jajaja 😅,1
Que ganas de mandar todo a la mierda. 😊,0
Creo que lo que odié de Nocturnal Animals es lo mismo que odié de Gone Girl. Se están robando mis ideas de venganza.,0
"Es de masoquistas saber que la persona que te gusta juega contigo, y aun así seguirle el juego.",0
@onxftwopetrx LLORANDO CON EL QUÈ PASSA?,0
Por si me stalkeas: me va mucho mejor sin ti ,1
@PerdigueroSIPEp Usted no debería estar curado de espanto?,1
Mentiras y más mentiras 😠😠😠,0
Nunca había visto unas extensiones tan falsas... ,0
"@Tidus90 Ninguno, ya de pedo que le cambien a cañardi 😢",0
Estas infranqueables ganas de no hablar con nadie también cuentan como entusiasmo.,1
Mas de una vez se me pasó por la cabeza que no se por que yo me iba a morir de esquizofrenia o iba a ir a alcohólicos anonimos. Nunca bien ,0
No me aburro nunca con uma es de terror❤ jajaja,1
"Ayron de Valle juega a buscar la falta, que vaina para aburrida. Se pierde sorpresa en la salida y en el ataque Millos a mejorar mucho",0
@gonzale_pedro @La9deAnon Lo mismo digo. Me acabo de enterar y qué disgusto.,0
No quiero regresar mañana a CD.MX. 😢,0
Me enojo en secreto cuando veo tus etiquetas de memes de putería.,0
@Lelecbacity @TuttinMarquez JAJAJAJ que les pasa oigan ,1
@Martiin_29azul Jajajajaja Admite que estuvo para morirse ,1
Estoy preocupada desde ya por mis amigas y yo mañana,0
@AlisonVivanco Brillante !!! Nada más,1
No se porque le mando snaps tan comprometidos a Anto si cualquiera le agarra el celular a ella ,0
Hermoso dia! Hermosa visita.  Por arrancar la rutina. #felicidad pura... 😀😀😀😀,1
Camila está llorando porque le dedicaron una canción lpm #ellos,0
@_ELBRAYAN_ Muy malvado él que juega así con uno jejeje,1
"Tengo la sensación que va a temblar, ahora no por favor 😓",0
@anag_ibarra No me han encantado los primeros 5 capítulos de la última,0
"@D_Nacional Más bien: ""Sabemos lo que hicisteis antes de provocar una guerra"".",0
"por dedicarte poco tiempo, ya lo se que fui un cobarde, un ladrón 🎶🎶🎶🎶🎶🎶🎶🎶",0
No puedo tener tanta bronca 😠😠😠,0
Que bueno mañana tengo franco devuelta ,1
"Iba con algo de temor por mis haters, pero gracias a Dios el pelo por mi 😌🤚🏼",1
Me acabo de dar cuenta que tengo mas fotos con @luis_gerar1 que metas en la vida ,0
La inmensidad del mundo no te recuerda lo pequeño que eres SINO LO GRANDE QUE PUEDES SER.  #Felicidad,1
@MiicaLucero1 sabia que era un homosexual que se hacia el garchador furioso,0
@florido_raul @Eriemer @Pablo_Iglesias_ Vaya educación tienes! Opina sin insultar por q si no tus comentarios pierden cualquier significado!,0
Eso de no tener clases me.está preocupando. 😭,0
"Sin duda la muerte de @ChesterBe es una lamentable pérdida para el mundo de la música, ¡se fue un chingonazo!😢",0
"bad es excelente a pesar de que los grammys lo despreciaron, lleno de optimismo, romance, urbanismo, vocals y su mejor gira",1
@Grown1DARG alguien me regala? ahre no puedo creer el papel lamentable que estoy haciendo,0
A veces no entiendo como en la biblioteca no encuentro ningún estudiante de letras #Ironía xD,0
@Jerry_Eliz Es normal que me sienta orgullosa?,1
@lavozdeinaki Si después del atropello te levantas pedir perdon,1
